title,location,call,access,parking,height,lift,toilet,customRoom,seat,ticket,blindConve,deafConve,guidance,wheelchair,longitude,latitude
역삼버드나무 집,서울시 강남구 언주로 522,02-2088-3392,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.0419572,37.50529801
진대감,서울시 서초구 반포대로14길 18,-1,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.0122202,37.48526127
미스터피자,서울시 도봉구 노해로  285,02-900-2032,N,Y,Y,N,N,N,N,N,N,N,N,N,127.0399802,37.65184378
씨푸드 대림점,서울시 영등포구 대림로  70,-1,Y,Y,Y,N,N,N,N,N,N,N,N,N,0,0
자연한그릇,서울시 노원구 동일로 1602,02-936-1300,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.0563898,37.67146109
서강8경 제2근생(일반음식점),서울시 마포구 토정로 128,02-334-1919,Y,Y,Y,N,N,N,N,N,N,N,N,N,126.9253379,37.54493675
오발탄,서울시 송파구 위례성대로 246,-1,N,Y,N,N,N,N,N,N,N,N,N,N,0,0
빕스 봉천역점,서울시 관악구 남부순환로 1712,02-882-0254,Y,Y,Y,N,N,N,N,N,N,N,N,N,126.9401155,37.4826678
근린생활시설(팬다),서울시 노원구 동일로246길 39,02-930-6188,Y,Y,N,N,N,N,N,N,N,N,N,N,127.0564218,37.67776153
왕초한우건물,서울시 용산구 대사관로34길 39,-1,Y,Y,N,N,N,N,N,N,N,N,N,N,127.0059231,37.53166164
피자헛,서울시 노원구 동일로 1333,02-935-5143,Y,N,Y,N,N,N,N,N,N,N,N,N,127.0623428,37.64783229
GASTRO PUB-주점,서울시 서초구 동광로  78,-1,N,Y,Y,N,N,N,N,N,N,N,N,N,126.9911003,37.49284834
미담,서울시 양천구 목동서로 133-4,02-2642-2300,Y,N,Y,Y,N,N,N,N,N,N,N,N,126.876076,37.53182451
시화담,서울시 용산구 회나무로  75,02-798-3311,Y,Y,N,N,N,N,N,N,N,N,N,N,126.9948377,37.54067224
태능가든,서울시 중랑구 신내로14길 13,02-3422-2800,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.0960802,37.60583294
경인빌딩(엉터리생고기),서울시 관악구 봉천로 385,02-877-3382,Y,Y,N,N,N,N,N,N,N,N,N,N,126.9427831,37.48338239
정선참숯골,서울시 용산구 이촌로29길 8-18,02-797-5592,Y,N,N,N,N,N,N,N,N,N,N,N,126.9600217,37.52370346
이남장,서울시 종로구 새문안로3길 11,02-723-2822,N,N,N,N,N,N,N,N,N,N,N,N,126.9723426,37.57134247
흑돈가,서울시 서초구 서운로  133,02-3471-9700,N,N,Y,N,N,N,N,N,N,N,N,N,127.0247179,37.49537697
원조 현풍 할매집 곰탕,서울시 강남구 언주로87길  6,02-521-7722,Y,Y,N,N,N,N,N,N,N,N,N,N,127.0425614,37.50178054
파리크라상,서울시 중구 덕수궁길 7,02-773-8208,Y,N,N,N,N,N,N,N,N,N,N,N,126.9763524,37.56472533
양대박,서울시 송파구 백제고분로46길 44,02-415-3321,N,Y,N,N,N,N,N,N,N,N,N,N,0,0
coffeesmith(휴게음식점) ,서울시 마포구 와우산로  82,02-3143-6740,Y,Y,N,N,N,N,N,N,N,N,N,N,126.9237042,37.55175082
근린생활시설(벽창우생고기전문점),서울시 노원구 동일로242길 54,-1,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.0581762,37.67462472
양촌리 화로 숯불구이,서울시 강남구 남부순환로  2720,02-2058-1245,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.0435881,37.48550379
미락(신성빌딩),서울시 강서구 공항대로  519,02-3662-3535,N,Y,N,N,N,N,N,N,N,N,N,N,126.8641329,37.55177285
순흥골돼지갈비전문점,서울시 강서구 양천로 608,02-3663-3779,Y,Y,N,N,N,N,N,N,N,N,N,N,126.8654181,37.5549954
쿼터백,서울시 강남구 테헤란로1길  29,02-567-7879,Y,N,Y,N,N,N,N,N,N,N,N,N,127.0272879,37.50010698
샤델리(한수빌딩),서울시 강남구 언주로172길  62,02-514-0040,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.0387549,37.52674018
한일관,서울시 강남구 압구정로38길 14,1577-9963,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.0324941,37.52777798
화사랑화로구이,서울시 송파구 오금로 162,02-421-4554,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.1124661,37.50978009
초원웨딩홀뷔페,서울시 도봉구 도봉산길 10,02-955-2233,Y,N,Y,N,N,N,N,N,N,N,N,N,127.0448517,37.68763552
강강술래,서울시 강남구 논현로  325,02-567-9233,Y,N,N,N,N,N,Y,N,N,N,N,N,127.0394786,37.49414874
왕돌구이집,서울시 송파구 오금로15길 -12,-1,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.1096613,37.51265521
근린생활시설(화통구이),서울시 노원구 덕릉로 754,-1,Y,Y,N,N,N,N,N,N,N,N,N,N,127.0771058,37.66452931
옛골토성상봉점,서울시 중랑구 면목로 494,02-433-4276,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.0859011,37.59605862
메종르베이지-카페,서울시 용산구 이태원로  267,02-749-5667,Y,Y,N,N,N,N,N,N,N,N,N,N,127.0011317,37.53849628
잇플레이스,서울시 서초구 사평대로6길 102,02-534-3321,N,Y,N,N,N,N,Y,N,N,N,N,N,0,0
참숯과화로구이,서울시 강서구 등촌로  57,-1,Y,Y,Y,N,N,N,N,N,N,N,N,N,126.8631413,37.53500933
알비훠스트,서울시 중구 명동4길 31,-1,Y,N,Y,N,N,N,N,N,N,N,N,N,126.9840801,37.56221305
